dx_cd|ICD9|ICD10
E000|EXTERNAL CAUSE STATUS|CONGENITAL IODINE-DEFICIENCY SYNDROME, NEUROLOGICAL TYPE
E001|ACTIVITIES INVOLVING WALKING AND RUNNING|CONGENITAL IODINE-DEFICIENCY SYNDROME, MYXEDEMATOUS TYPE
E002|ACTIVITIES INVOLVING WATER AND WATER CRAFT|CONGENITAL IODINE-DEFICIENCY SYNDROME, MIXED TYPE
E009|ACTIVITY INVOLVING OTHER CARDIORESPIRATORY EXERCISE|CONGENITAL IODINE-DEFICIENCY SYNDROME, UNSPECIFIED
E010|ACTIVITY INVOLVING OTHER MUSCLE STRENGTHENING EXERCISES|IODINE-DEFICIENCY RELATED DIFFUSE (ENDEMIC) GOITER
E011|ACTIVITIES INVOLVING COMPUTER TECHNOLOGY AND ELECTRONIC DEVICES|IODINE-DEFICIENCY RELATED MULTINODULAR (ENDEMIC) GOITER
E012|ACTIVITIES INVOLVING ARTS AND HANDCRAFTS|IODINE-DEFICIENCY RELATED (ENDEMIC) GOITER, UNSPECIFIED
E018|ACTIVITIES INVOLVING PLAYING MUSICAL INSTRUMENT|OTHER IODINE-DEFICIENCY RELATED THYROID DISORDERS AND ALLIED CONDITIONS
E030|UNSPECIFIED ACTIVITY|CONGENITAL HYPOTHYROIDISM WITH DIFFUSE GOITER
E800|RAILWAY ACCIDENT INVOLVING COLLISION WITH ROLLING STOCK|HEREDITARY ERYTHROPOIETIC PORPHYRIA
E801|RAILWAY ACCIDENT INVOLVING COLLISION WITH OTHER OBJECT|PORPHYRIA CUTANEA TARDA
E802|RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION|OTHER AND UNSPECIFIED PORPHYRIA
E8020|RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING RAILWAY EMPLOYEE|UNSPECIFIED PORPHYRIA
E8021|RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING PASSENGER ON RAILWAY|ACUTE INTERMITTENT (HEPATIC) PORPHYRIA
E8029|RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING UNSPECIFIED PERSON|OTHER PORPHYRIA
E803|RAILWAY ACCIDENT INVOLVING EXPLOSION, FIRE, OR BURNING|DEFECTS OF CATALASE AND PEROXIDASE
E804|FALL IN, ON, OR FROM RAILWAY TRAIN|GILBERT SYNDROME
