"dx_cd|""diagnosis_desc""|""diag_vers_typ_id""",,,,
"E000|""EXTERNAL CAUSE STATUS""|1",,,,
"E000|""CONGENITAL IODINE-DEFICIENCY SYNDROME"," NEUROLOGICAL TYPE""|2",,,
"E001|""ACTIVITIES INVOLVING WALKING AND RUNNING""|1",,,,
"E001|""CONGENITAL IODINE-DEFICIENCY SYNDROME"," MYXEDEMATOUS TYPE""|2",,,
"E002|""ACTIVITIES INVOLVING WATER AND WATER CRAFT""|1",,,,
"E002|""CONGENITAL IODINE-DEFICIENCY SYNDROME"," MIXED TYPE""|2",,,
"E009|""ACTIVITY INVOLVING OTHER CARDIORESPIRATORY EXERCISE""|1",,,,
"E009|""CONGENITAL IODINE-DEFICIENCY SYNDROME"," UNSPECIFIED""|2",,,
"E010|""ACTIVITY INVOLVING OTHER MUSCLE STRENGTHENING EXERCISES""|1",,,,
"E010|""IODINE-DEFICIENCY RELATED DIFFUSE (ENDEMIC) GOITER""|2",,,,
"E011|""ACTIVITIES INVOLVING COMPUTER TECHNOLOGY AND ELECTRONIC DEVICES""|1",,,,
"E011|""IODINE-DEFICIENCY RELATED MULTINODULAR (ENDEMIC) GOITER""|2",,,,
"E012|""ACTIVITIES INVOLVING ARTS AND HANDCRAFTS""|1",,,,
"E012|""IODINE-DEFICIENCY RELATED (ENDEMIC) GOITER"," UNSPECIFIED""|2",,,
"E018|""ACTIVITIES INVOLVING PLAYING MUSICAL INSTRUMENT""|1",,,,
"E018|""OTHER IODINE-DEFICIENCY RELATED THYROID DISORDERS AND ALLIED CONDITIONS""|2",,,,
"E030|""UNSPECIFIED ACTIVITY""|1",,,,
"E030|""CONGENITAL HYPOTHYROIDISM WITH DIFFUSE GOITER""|2",,,,
"E800|""RAILWAY ACCIDENT INVOLVING COLLISION WITH ROLLING STOCK""|1",,,,
"E800|""HEREDITARY ERYTHROPOIETIC PORPHYRIA""|2",,,,
"E801|""RAILWAY ACCIDENT INVOLVING COLLISION WITH OTHER OBJECT""|1",,,,
"E801|""PORPHYRIA CUTANEA TARDA""|2",,,,
"E802|""RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION""|1",,,,
"E802|""OTHER AND UNSPECIFIED PORPHYRIA""|2",,,,
"E8020|""RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING RAILWAY EMPLOYEE""|1",,,,
"E8020|""UNSPECIFIED PORPHYRIA""|2",,,,
"E8021|""RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING PASSENGER ON RAILWAY""|1",,,,
"E8021|""ACUTE INTERMITTENT (HEPATIC) PORPHYRIA""|2",,,,
"E8029|""RAILWAY ACCIDENT INVOLVING DERAILMENT WITHOUT ANTECEDENT COLLISION INJURING UNSPECIFIED PERSON""|1",,,,
"E8029|""OTHER PORPHYRIA""|2",,,,
"E803|""RAILWAY ACCIDENT INVOLVING EXPLOSION", FIRE," OR BURNING""|1",,
"E803|""DEFECTS OF CATALASE AND PEROXIDASE""|2",,,,
"E804|""FALL IN", ON," OR FROM RAILWAY TRAIN""|1",,
"E804|""GILBERT SYNDROME""|2",,,,
"E805|""HIT BY ROLLING STOCK""|1",,,,
"E805|""CRIGLER-NAJJAR SYNDROME""|2",,,,
"E806|""OTHER SPECIFIED RAILWAY ACCIDENT""|1",,,,
"E806|""OTHER DISORDERS OF BILIRUBIN METABOLISM""|2",,,,
"E807|""RAILWAY ACCIDENT OF UNSPECIFIED NATURE""|1",,,,
"E807|""DISORDER OF BILIRUBIN METABOLISM"," UNSPECIFIED""|2",,,
"E830|""ACCIDENT TO WATERCRAFT CAUSING SUBMERSION""|1",,,,
"E830|""DISORDERS OF COPPER METABOLISM""|2",,,,
"E8300|""ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING OCCUPANT OF SMALL BOAT"," UNPOWERED""|1",,,
"E8300|""DISORDER OF COPPER METABOLISM"," UNSPECIFIED""|2",,,
"E8301|""ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8301|""WILSON'S DISEASE""|2",,,,
"E8309|""ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING UNSPECIFIED PERSON""|1",,,,
"E8309|""OTHER DISORDERS OF COPPER METABOLISM""|2",,,,
"E831|""ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY""|1",,,,
"E831|""DISORDERS OF IRON METABOLISM""|2",,,,
"E8310|""ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO OCCUPANT OF SMALL BOAT"," UNPOWERED""|1",,,
"E8310|""DISORDER OF IRON METABOLISM"," UNSPECIFIED""|2",,,
"E8311|""ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8311|""HEMOCHROMATOSIS""|2",,,,
"E8319|""ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO UNSPECIFIED PERSON""|1",,,,
"E8319|""OTHER DISORDERS OF IRON METABOLISM""|2",,,,
"E832|""OTHER ACCIDENTAL SUBMERSION OR DROWNING IN WATER TRANSPORT ACCIDENT""|1",,,,
"E832|""DISORDERS OF ZINC METABOLISM""|2",,,,
"E833|""FALL ON STAIRS OR LADDERS IN WATER TRANSPORT""|1",,,,
"E833|""DISORDERS OF PHOSPHORUS METABOLISM AND PHOSPHATASES""|2",,,,
"E8330|""FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," UNPOWERED""|1",,,
"E8330|""DISORDER OF PHOSPHORUS METABOLISM"," UNSPECIFIED""|2",,,
"E8331|""FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8331|""FAMILIAL HYPOPHOSPHATEMIA""|2",,,,
"E8332|""FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW""|1",,,,
"E8332|""HEREDITARY VITAMIN D-DEPENDENT RICKETS (TYPE 1) (TYPE 2)""|2",,,,
"E8339|""FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING UNSPECIFIED PERSON""|1",,,,
"E8339|""OTHER DISORDERS OF PHOSPHORUS METABOLISM""|2",,,,
