|Count|ICD10|ICD10_desc
0|21788529|I10|ESSENTIAL (PRIMARY) HYPERTENSION
1|19497471|Z0000|ENCOUNTER FOR GENERAL ADULT MEDICAL EXAMINATION WITHOUT ABNORMAL FINDINGS
2|13272519|Z00129|ENCOUNTER FOR ROUTINE CHILD HEALTH EXAMINATION WITHOUT ABNORMAL FINDINGS
3|10470154|Z23|ENCOUNTER FOR IMMUNIZATION
4|9890112|E119|TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS
5|9040289|N186|END STAGE RENAL DISEASE
6|8061616|E785|HYPERLIPIDEMIA, UNSPECIFIED
7|7336799|M545|LOW BACK PAIN
8|7073161|G4733|OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC)
9|6253356|R69|ILLNESS, UNSPECIFIED
10|5618816|E039|HYPOTHYROIDISM, UNSPECIFIED
11|5393554|Z1231|ENCOUNTER FOR SCREENING MAMMOGRAM FOR MALIGNANT NEOPLASM OF BREAST
12|5299912|Z01419|ENCOUNTER FOR GYNECOLOGICAL EXAMINATION (GENERAL) (ROUTINE) WITHOUT ABNORMAL FINDINGS
13|5075284|N390|URINARY TRACT INFECTION, SITE NOT SPECIFIED
14|4724627|Z79899|OTHER LONG TERM (CURRENT) DRUG THERAPY
15|4621704|M542|CERVICALGIA
16|4504152|I2510|ATHEROSCLEROTIC HEART DISEASE OF NATIVE CORONARY ARTERY WITHOUT ANGINA PECTORIS
17|4396428|R079|CHEST PAIN, UNSPECIFIED
18|4224803|K219|GASTRO-ESOPHAGEAL REFLUX DISEASE WITHOUT ESOPHAGITIS
19|3774237|N179|ACUTE KIDNEY FAILURE, UNSPECIFIED
20|3708414|M9901|SEGMENTAL AND SOMATIC DYSFUNCTION OF CERVICAL REGION
21|3624470|J449|CHRONIC OBSTRUCTIVE PULMONARY DISEASE, UNSPECIFIED
22|3368609|F419|ANXIETY DISORDER, UNSPECIFIED
23|3339880|E1165|TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA
24|3330627|R0789|OTHER CHEST PAIN
25|3295732|M6281|MUSCLE WEAKNESS (GENERALIZED)
26|3254247|D649|ANEMIA, UNSPECIFIED
27|3235571|J029|ACUTE PHARYNGITIS, UNSPECIFIED
28|3206118|R109|UNSPECIFIED ABDOMINAL PAIN
29|3200110|Z5111|ENCOUNTER FOR ANTINEOPLASTIC CHEMOTHERAPY
30|3094783|R5383|OTHER FATIGUE
31|2854481|J069|ACUTE UPPER RESPIRATORY INFECTION, UNSPECIFIED
32|2780806|Z20822|CONTACT WITH AND (SUSPECTED) EXPOSURE TO COVID-19
33|2755349|M9903|SEGMENTAL AND SOMATIC DYSFUNCTION OF LUMBAR REGION
34|2753526|Z1211|ENCOUNTER FOR SCREENING FOR MALIGNANT NEOPLASM OF COLON
35|2731153|I4891|UNSPECIFIED ATRIAL FIBRILLATION
36|2704372|R05|COUGH
37|2642624|J189|PNEUMONIA, UNSPECIFIED ORGANISM
38|2600703|F411|GENERALIZED ANXIETY DISORDER
39|2577994|F1120|OPIOID DEPENDENCE, UNCOMPLICATED
40|2568768|F329|MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED
41|2564996|M25561|PAIN IN RIGHT KNEE
42|2454175|R0602|SHORTNESS OF BREATH
43|2383294|M25511|PAIN IN RIGHT SHOULDER
44|2286022|E782|MIXED HYPERLIPIDEMIA
45|2225240|R42|DIZZINESS AND GIDDINESS
46|2209730|Z87891|PERSONAL HISTORY OF NICOTINE DEPENDENCE
47|2182409|A419|SEPSIS, UNSPECIFIED ORGANISM
48|2160802|I480|PAROXYSMAL ATRIAL FIBRILLATION
49|2160526|E559|VITAMIN D DEFICIENCY, UNSPECIFIED
50|2147971|Z0001|ENCOUNTER FOR GENERAL ADULT MEDICAL EXAMINATION WITH ABNORMAL FINDINGS
51|2147045|J9601|ACUTE RESPIRATORY FAILURE WITH HYPOXIA
52|2130787|Z01818|ENCOUNTER FOR OTHER PREPROCEDURAL EXAMINATION
53|2126503|M25562|PAIN IN LEFT KNEE
54|2114524|R55|SYNCOPE AND COLLAPSE
55|2067075|R51|HEADACHE
56|1988192|D509|IRON DEFICIENCY ANEMIA, UNSPECIFIED
57|1965679|Z00121|ENCOUNTER FOR ROUTINE CHILD HEALTH EXAMINATION WITH ABNORMAL FINDINGS
