I10,1785450
J9601,670718
N179,563442
D62,549136
M6281,502908
J189,499722
E119,497381
Z370,470395
E785,405866
N390,387217
Z992,364504
G9341,324967
N186,319928
E039,314348
E43,313168
Z23,305057
K219,297625
E871,294499
I5033,261761
F17210,254440
N2581,245312
F419,236159
D649,235716
Z79899,235639
J9621,233767
R112,231959
R262,230512
I2510,224515
J45909,218895
Z20822,215929
V270,208624
E860,202139
E669,184529
Z6841,175325
Z87891,174380
A419,172157
R6521,170095
I5023,168352
D509,162828
R0602,159588
F329,156509
J690,156425
R109,154904
J449,154598
E872,149098
R197,145468
J1282,140599
I4891,138656
R079,129831
U071,129483
E876,128550
G8929,128336
N170,127678
D689,126313
E6601,126069
R110,124879
R531,123117
G92,122643
F17200,120682
I214,120041
I5032,118944
E1165,118728
R42,117830
R0789,116638
Z006,115774
I5043,112490
R5383,110474
G936,109861
I130,109726
R51,108100
G9340,107860
Z5111,107716
E559,107544
D631,107268
C7951,105181
M545,103012
R55,99690
R2689,95798
R509,94251
J441,93965
Z20828,93263
E7800,90994
I2699,89514
R69,88004
Z170,86402
C787,84668
J9600,84006
D72829,83396
I5022,82633
Z6842,82184
R05,79222
K5730,78733
I480,78526
R1013,75947
I21A1,73442
D696,72863
C9000,72618
K5900,72569
E1122,71184
I129,71010
R002,70562
F0390,69924
M542,69828
R2681,68919
J90,67884
Z7901,67819
I5021,67636
R000,66882
I509,66809
Z0000,66295
I429,65154
R1312,64311
I5031,63943
Z5112,63151
J1289,62317
E782,62310
Z880,62002
D61810,60003
G4733,59843
Z98890,59781
K760,59739
I110,59652
M1990,58711
K449,58547
I4892,57715
C61,57617
L03116,57486
F411,57171
Z853,56791
I959,56237
Z9181,55805
Z6843,55175
R1310,54803
R102,54787
R1031,54705
I471,54599
R030,54535
N184,54225
L03115,54172
D259,53801
R1110,53629
G8194,53302
I472,53126
G8191,53103
K831,52390
D61818,49487
Z87442,49343
F1120,49319
G20,49317
K635,49311
C3490,49154
J9811,48891
E440,47440
Z803,46983
M549,46756
Z3A39,46563
R269,46551
R0600,46298
I120,46279
M25562,46076
R7989,45974
K648,45931
K529,45924
R001,45705
D122,45574
M25561,45362
C50912,45187
Z125,45147
R319,44471
I639,44095
N183,43475
J9622,43316
G629,43298
C50919,43237
M25511,42928
K567,42857
E1140,42578
K5090,42568
N200,42288
Z01812,42143
R1032,42072
C20,42023
R1011,41557
J9611,41492
J069,41418
M4802,41372
G8918,41367
C50911,40989
Z5189,40846
N920,40791
M25512,40660
C189,40637
R570,39944
R41841,39933
R1084,39763
R296,39682
J9602,39520
D123,39398
P599,39261
Z7982,38941
Z113,38914
R202,38897
B9620,38853
R278,38779
R918,38777
E46,38220
G935,38198
Z1159,38145
O6981X0,37733
R188,37629
G43909,37555
Z86010,37492
O701,37280
O99824,37208
E8342,36922
P220,36550
N3000,36358
M810,36291
M069,35918
J159,35863
M5416,35835
R0902,35093
C773,34948
I69354,34936
R200,34711
K651,34532
K429,34218
R4701,34179
B1920,34087
R293,33652
R9431,33353
Z720,33301
D500,32817
K8590,32732
N1330,32655
C50412,32506
K921,32455
Z66,32415
K660,32261
Z96651,32252
Z01818,31999
Z794,31550
F1020,31385
J343,31296
E870,31103
J029,31102
O700,30980
I4820,30936
N400,30776
M48061,30551
Z96652,30516
R519,30296
C569,30266
D125,30218
J95821,30208
Z13220,30156
F0281,30134
N800,30045
F1010,29934
I69351,29917
C7931,29667
B349,29651
R4182,29632
D120,29524
R569,29374
R1030,29262
Z9049,29172
K922,29171
I482,29170
R279,29110
B182,29097
E1142,29025
J440,28976
I252,28904
Z3A01,28717
O76,28713
J45901,28605
Z940,28523
F319,28201
M25551,28058
E780,27978
J181,27963
B20,27943
N138,27933
R739,27912
F909,27802
C9110,27742
K2950,27636
R748,27552
G40909,27537
N840,27494
F05,27465
Z96641,27439
R571,27413
K2970,27344
M25552,27296
R300,27264
R5381,27249
R7881,27101
C786,27028
M1711,26944
C259,26925
C50411,26825
R590,26672
O09523,26555
N939,26405
R6510,26287
G35,26197
S0990XA,25995
C7800,25987
M5136,25974
Z96642,25936
N189,25866
M6282,25724
Z5181,25667
Z4789,25572
G4730,25455
L89154,25431
J9691,25168
O721,25117
G309,25020
I25110,24907
A047,24883
K625,24858
O411230,24817
Z800,24811
Z3A00,24708
K8020,24527
F10239,24516
I5042,24410
K5190,24377
M1712,24219
O480,24113
K7200,24066
Q211,24037
I2582,24023
J209,23804
D6851,23783
J9620,23624
F0391,23575
M7989,23571
R600,23569
R578,23549
Z741,23526
Z881,23449
R911,23425
R922,23350
F1220,23310
B9689,23028
